,Families,Incidence
619,CBM20+GT20,9
620,CBM10+GH134,9
621,CBM25+CBM26+CBM74+GH13,9
622,CE14+GT2,9
623,GT31+GT32,9
624,AA12+AA8,9
625,CE20+CE6,9
626,CBM32+CBM66+GH169,9
627,CBM27+CBM35+GH26,8
628,CBM16+GH5,8
629,GT2+GT74,8
630,CBM22+CE0+GH10,8
631,GH20+GH35,8
632,CBM32+CBM35,8
633,CBM5+GH23,8
634,CBM13+GH51,8
635,CBM32+PL35,8
636,CBM22+CBM6+GH10,8
637,CBM13+CBM32+GH20,8
638,CBM35+GH18,8
639,GH0+GH23,8
640,CBM6+GH120,8
641,CBM2+CE8,8
642,CBM32+CBM57,8
643,GT107+GT8,8
644,CBM16+PL0,8
645,GH25+GH73,8
646,CBM84+PL3,8
647,CBM2+GH64,8
648,CBM88+GH74,8
649,CE0+GT4,8
650,CBM6+GH3+GH30,8
651,CBM31+GH26,8
652,GH43+GH97,8
653,CBM13+GH30+GH43,8
654,CBM32+CBM42+GH43,8
655,CBM13+CBM47,8
656,GH29+GH88,8
657,CBM51+GH136,8
658,CBM92+GH25,8
659,CBM2+CBM32+GH26,8
660,CBM16+GT39,8
661,CE4+GH0,8
662,CBM57+GH137+GH2,8
663,GT4+GT8,8
664,CE20+GH11,8
665,CBM32+CBM5+PL8,8
666,CE12+CE6,8
667,CBM11+GH26+GH5,7
668,CBM6+CE0+GH10,7
669,CBM8+GH9,7
670,CBM21+GH13,7
671,CBM20+CBM34+CBM48+GH13,7
672,CBM10+CBM35+CBM5+GH5,7
673,CBM37+CBM4+GH9,7
674,CBM10+CBM2+GH10,7
675,CBM51+CBM57,7
676,CBM6+GH27,7
677,CBM0+GH16,7
678,CBM66+PL0,7
679,CBM35+CBM61+GH43,7
680,CBM2+GH43,7
681,CBM35+GH146,7
682,CBM32+PL0,7
683,GT23+GT41,7
684,CBM22+CBM4+GH10,7
685,CBM0+GH93,7
686,CBM13+GH20,7
687,CBM26+CBM35+GH13,7
688,CBM32+GH16+PL6+PL7,7
689,GH88+GH92,7
690,GH16+GH3,7
691,CBM84+PL8,7
692,CE12+GH42,7
693,CBM20+CBM26+CBM74+GH13,7
694,CBM16+CBM92+GH16,7
695,CBM1+GH12,7
696,GT11+GT6,7
697,CBM13+CBM35+GH142,7
698,CBM13+CBM32+GH31,7
699,GT101+GT2+GT8,7
700,CBM6+GH43+GH8,7
701,CBM44+GH5,7
702,CBM13+CBM47+GH141,7
703,GH125+GH92,7
